# 0MPH-SA (Up to date)
# 2974 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (21.6 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019076,-9.538164,0.019181,9.590703,-0.000002,0,0.000002,3.141593,0.002005,1.002501,0.575786,1.867068,9.791353,1.658338,0,0,0,31.345975,8.45895,27.788205,0.113025,NaN,1.848156,NaN,0.000298,19486.993863,4.60824,-0,1.162758,-0.00186,1.082459,0.009865,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011309,334.878113,0.002,0.05172
0.004,-0.000018,-0.018491,-9.245749,0.018593,9.296678,-0.000002,0,0.000002,3.141593,0.001944,0.971767,0.575786,1.867068,9.791353,1.652468,0,0,0,31.345925,8.458901,27.788158,0.113025,NaN,1.848154,NaN,0.000298,19477.293972,13.82472,-0,1.162933,-0.001516,1.082634,0.009865,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011303,334.878113,0.002,0.058919
0.006,-0.000018,-0.017907,-8.953334,0.018005,9.002652,-0.000002,0,0.000002,3.141593,0.001882,0.941033,0.575786,1.867068,9.791353,1.646591,0,0,0,31.345876,8.458851,27.788111,0.113025,NaN,1.848153,NaN,0.000298,19468.265983,23.0412,-0,1.163097,-0.001217,1.082798,0.009865,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011297,334.878113,0.002,0.065082
0.008,-0.000017,-0.017322,-8.660918,0.017417,8.708625,-0.000002,0,0.000002,3.141593,0.001821,0.910299,0.575786,1.867068,9.791353,1.64071,0,0,0,31.345826,8.458802,27.788064,0.113024,NaN,1.848151,NaN,0.000298,19459.910838,32.25768,-0,1.163248,-0.000958,1.082949,0.009865,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.01129,334.878113,0.002,0.07129
0.01,-0.000017,-0.016737,-8.368501,0.016829,8.414597,-0.000002,0,0.000002,3.141593,0.001759,0.879565,0.575786,1.867068,9.791353,1.634823,0,0,0,31.345777,8.458752,27.788017,0.113024,NaN,1.84815,NaN,0.000298,19452.229411,41.47416,-0,1.163387,-0.000739,1.083088,0.009865,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011284,334.878113,0.002,0.076814
0.012,-0.000016,-0.016152,-8.076083,0.016241,8.120568,-0.000002,0,0.000002,3.141593,0.001698,0.848831,0.575786,1.867068,9.791353,1.628933,0,0,0,31.345727,8.458703,27.78797,0.113024,NaN,1.848148,NaN,0.000297,19445.222507,50.69064,-0,1.163514,-0.000555,1.083215,0.009865,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011278,334.878113,0.002,0.081374
0.014,-0.000016,-0.015567,-7.783664,0.015653,7.826538,-0.000002,0,0.000002,3.141593,0.001636,0.818096,0.575786,1.867068,9.791353,1.623038,0,0,0,31.345678,8.458653,27.787923,0.113024,NaN,1.848147,NaN,0.000297,19438.890861,59.90712,-0,1.163629,-0.000404,1.08333,0.009865,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011272,334.878113,0.002,0.086263
0.016,-0.000015,-0.014982,-7.491244,0.015065,7.532508,-0.000002,0,0.000002,3.141593,0.001575,0.787361,0.575786,1.867068,9.791353,1.617139,0,0,0,31.345628,8.458604,27.787876,0.113024,NaN,1.848145,NaN,0.000297,19433.235139,69.1236,-0,1.163732,-0.000283,1.083433,0.009865,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011266,334.878113,0.002,0.090543
0.018,-0.000014,-0.014398,-7.198823,0.014477,7.238476,-0.000002,0,0.000002,3.141593,0.001513,0.756627,0.575786,1.867068,9.791353,1.611237,0,0,0,31.345579,8.458554,27.787829,0.113024,NaN,1.848144,NaN,0.000297,19428.255939,78.34008,-0,1.163822,-0.000189,1.083523,0.009865,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011259,334.878113,0.002,0.09465
0.02,-0.000014,-0.013813,-6.906401,0.013889,6.944444,-0.000001,0,0.000001,3.141593,0.001452,0.725892,0.575786,1.867068,9.791353,1.605332,0,0,0,31.345529,8.458505,27.787782,0.113024,NaN,1.848142,NaN,0.000297,19423.953788,87.55656,-0,1.163901,-0.000118,1.083601,0.009865,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011253,334.878113,0.002,0.098614
